id,name,address,latitude,longitude,review_count,rating,zip_code
liGIz8CzhyS1udx1aefjng,Williamsburg Thai Cuisine,212 Bedford Ave,40.71699,-73.9588799,276,4.0,11249
7Qvh0oFRsoqrO9qNlcMKXQ,Saigon Shack,114 Macdougal St,40.72969,-74.000629,2650,4.0,10012
M-odQWSEfsR2mVEw7nKG-g,Nyonya,199 Grand St,40.719116974367,-73.9968322948353,2324,4.0,10013
wbDtb47idIoDkzOMX8uEkA,Thaimee Love,116 West Houston,40.727805192166834,-74.00086038258787,43,3.5,10012
S2b4gAh3Sr1sbNGaTna1Xw,Bangkok Garden Thai Restaurant,261 Main St,40.8865743,-74.041739,437,4.0,07601
1KoKR9fug8VXZr5tqqtimQ,Rim Nam Thai,52 Jay St,40.7033674860089,-73.9868891,25,4.0,11201
Y4eqn5D2Emukncw1A3K8Wg,Areena Thai Cuisine,312 Hackensack St,40.83633,-74.09243,49,4.5,07072
l_gQf_4NgPMJcx2OkjsMfg,Noods n’ Chill,170 S 3rd St,40.71194,-73.96121,132,4.0,11211
B9_TgZa8rgW5oZOtXZUMCw,Laut Singapura,31 E 20th St,40.738584506222814,-73.98812157116433,356,4.0,10003
Irs8IQdQMXRxnWTDiQXKyA,Plum Vietnamese Restaurant,210 W 94th St,40.793008077554795,-73.97215002658557,76,4.5,10025
4yKYc9ngosSJ7Lk2LJE4ug,Eagle Thai Cuisine,644 Anderson Ave,40.825912,-73.987172,44,4.0,07010
sljnE3uoRUmM7aW5f1I3Ug,Once More Thai,6 Clinton St,40.72103,-73.98381,277,3.5,10002
LIsCe_l7kUlv2cUs6AxNQQ,SUROSS Thai Bistro,4131 Broadway,40.846016,-73.9387367,268,4.5,10033
XixegGx6pdU_H0MWWqN1_w,GAI Chicken & Rice,158 E 45th St,40.75279329265176,-73.97345292209359,169,4.0,10017
kXuubLd6s3GidpqU3psPdw,Chao Thai,8503 Whitney Ave,40.7414656,-73.8801273,407,4.0,11373
jKDXlyPG-2rmcp9Ej6jPLA,Living Thai,931 Amsterdam Ave,40.8001,-73.96574,146,4.0,10025
1Fe4lCiMPNVhoEyjg92frA,Kati Thai Cuisine,347 E 14th St,40.7318077087402,-73.98291015625,260,4.0,10003
4mzogOLOVDPBDVTO4cz9fA,Roi Siam,1814 Bergenline Ave,40.76397,-74.03454,169,4.0,07087
Pr-q47vsmM4aoc2t_Sfk8w,Momofuku Noodle Bar - Uptown,10 Columbus Cir,40.76802583631109,-73.9829243,515,4.0,10019
oO_X1H5Lxo8sNykx6azLVQ,Thai Super,166 E 118th St,40.799358,-73.939726,197,3.5,10035
Q23LvHPuC9ajSbMEt8xoUw,Lucky Cat,232 E 53rd St,40.7570162692229,-73.9681779883895,417,4.0,10022
YDZX2bJ1IyV0lunBYqbb4w,New Chinatown  Asian Cuisine/ Bar,1650 3rd Ave,40.782945,-73.95132,4,4.5,10128
